CITY-W,120,133,133,133,133,13
COCO-W,236,280,280,222,254,18
CPRI-W,48,48,50,47,47,1
DEAL-W,266,266,266,266,266,0
DFAM-W,630,630,630,630,630,0
DWGL-W,21,21,21,20,21,0
FIRE-W,8000,8000,8000,8000,8000,0
FORZ-W,466,466,466,466,466,0
FREN-W,183,183,188,179,183,0
HELI-W,21,21,23,20,22,1
HOKI-W,630,630,660,630,630,0
IBFN-W,41,41,45,41,41,0
INPC-W,9,9,9,8,9,0
INTA-W,220,200,250,200,250,30
JAYA-W,33,33,34,33,34,1
KIOS-W,550,222,496,222,496,54
KPAL-W,32,32,32,32,32,0
KPAS-W,40,40,41,35,40,0
MEDC-W,200,212,212,197,197,3
MTPS-W,256,268,280,248,250,6
NASA-W,600,515,610,515,610,10
NATO-W,476,412,478,412,478,2
NUSA-W,13,13,13,12,13,0
POLA-W,990,990,990,990,990,0
POOL-W,4010,4010,4010,4010,4010,0
POSA-W,13,13,15,12,14,1
PRIM-W,44,44,44,44,44,0
PSKT-W,25,25,25,25,25,0
SOSS-W,31,31,33,31,31,0
SOTS-W,121,121,141,115,122,1
TRAM-W,55,57,58,53,54,1
URBN-W,70,70,71,65,70,0
VINS-W,45,45,50,41,45,0
YELO-W,26,26,27,24,27,1
R-ABFII,28600,28600,28600,28600,28600,0
R-LQ45X,1010,1010,1010,1000,1000,10
